index,Finnish,frequency,English
1130,itseään,11806,itself
1131,toi,11784,brought
1132,tietoja,11779,information
1133,hetkellä,11775,at the moment
1134,suhteen,11754,regarding
1135,tiedättekö,11728,do you know
1136,unohtaa,11728,forget
1137,puhuin,11723,talked
1138,kesken,11723,in progress
1139,jostain,11710,somewhere
1140,helvettiin,11670,hell
1141,jonkin,11646,something
1142,työ,11635,job
1143,haluatteko,11621,Do you want
1144,asiaan,11590,on
1145,autoon,11576,in the car
1146,paskaa,11571,shit
1147,sekaisin,11565,tumbled
1148,pitävät,11563,hold
1149,ihme,11536,wonder
1150,paikkaa,11534,place
1151,olevansa,11529,to
1152,näitkö,11525,Did you see
1153,etsimään,11521,in search of
1154,usa,11519,U.S
1155,tri,11486,tri
1156,olisivat,11478,would
1157,jeesus,11465,Jesus
1158,tahdon,11460,will
1159,kirjoittaa,11453,write
1160,haista,11423,smell
1161,nykyään,11416,today
1162,minäkään,11401,anyone
1163,mieluummin,11397,rather
1164,naisia,11382,female
1165,seuraavaksi,11382,next
1166,eteen,11347,in front of
1167,tavallaan,11334,kind of
1168,paul,11332,paul
1169,paikalle,11331,on
1170,millaista,11306,what kind of
1171,enkö,11305,no
1172,pääset,11305,reach
1173,oven,11293,door
1174,montako,11277,many
1175,jimmy,11261,jimmy
1176,helppo,11260,easy
1177,pää,11259,head
1178,riitä,11257,dispute
1179,kävin,11255,I went
1180,tiesit,11239,you knew
1181,tilaa,11223,space
1182,keskellä,11200,in the middle
1183,isänsä,11190,father
1184,toimia,11187,act
1185,eversti,11170,colonel
1186,vitsi,11155,joke
1187,näit,11148,saw
1188,liikettä,11122,motion
1189,lukea,11113,read
1190,mihinkään,11091,anywhere
1191,kova,11089,hard
1192,valita,11076,care about
1193,poliisin,11072,police
1194,ben,11072,ban
1195,kolmen,11065,three
1196,kiitoksia,11038,thank you
1197,parempaa,11037,better
1198,talossa,11015,in a house
1199,monet,11000,many
1200,näkemiin,10979,Goodbye
1201,tehneet,10970,done
1202,herää,10969,Wake up
1203,tuoda,10967,bring
1204,lupaa,10965,promise
1205,pääsemme,10953,we get to
1206,jälleen,10949,again
1207,hra,10944,Mr
1208,liittyy,10944,associated with
1209,kunpa,10922,if only
1210,unta,10918,sleep
1211,pysykää,10883,stay
1212,voidaan,10868,can
1213,tiedot,10864,information
1214,valitettavasti,10864,unfortunately
1215,järkeä,10852,make sense
1216,taakse,10830,behind
1217,ensimmäisen,10828,first
1218,syömään,10824,to eat
1219,tapasin,10820,I met
1220,yrittänyt,10819,tried
1221,kenelle,10818,to whom
1222,löytänyt,10807,found
1223,mukaani,10804,according to
1224,kuolema,10799,death
1225,moni,10798,multi
1226,naista,10791,female
1227,tien,10781,road
1228,henry,10770,Henry
1229,unohdin,10768,forgot
1230,mun,10761,moon
1231,loistavaa,10744,brilliant
1232,max,10739,Max
1233,maailmassa,10728,in the world
1234,päättää,10725,decide
1235,koske,10722,touch
1236,yllätys,10722,surprise
1237,vannon,10699,swear
1238,puhui,10686,talked
1239,käski,10658,casque
1240,mieti,10651,born
1241,lasta,10639,spatula
1242,onhan,10637,upon
1243,voiko,10607,can
1244,mahdotonta,10597,out
1245,toisin,10584,otherwise
1246,pääsen,10573,i get
1247,tulivat,10572,came
1248,pidin,10569,holder
1249,mitäs,10559,what
1250,kuuletko,10548,do you hear
1251,olisiko,10544,should
1252,noita,10543,witch
1253,vapaa,10526,free
1254,puolet,10518,half
1255,nälkä,10510,hunger
1256,vähemmän,10499,less
1257,leikkiä,10496,play
1258,auttamaan,10442,to help
1259,paikkaan,10442,in place
1260,etsimme,10438,We are looking for
1261,lopettakaa,10425,quit
1262,oikeus,10421,legal
1263,alex,10414,Alex
1264,kannattaa,10410,worth to
1265,ruumis,10409,corpse
1266,paskat,10403,shit
1267,myöhäistä,10380,late
1268,autossa,10366,in a car
1269,auttakaa,10349,help
1270,olisimme,10349,We would
1271,kuoleman,10338,deadly
1272,huonosti,10337,poorly
1273,suojella,10337,protect
1274,kaikista,10314,of all
1275,näistä,10312,of these
1276,valmista,10286,prepare
1277,t,10280,t and
1278,pyysin,10275,I asked
1279,ikuisesti,10273,forever
1280,mary,10266,mary
1281,tähden,10266,for the sake of
1282,ok,10252,alright
1283,kaikilla,10248,all
1284,viestin,10240,message
1285,mahdollisuus,10234,opportunity
1286,heippa,10233,bye
1287,mielelläni,10232,with pleasure
1288,kenenkään,10227,anyone
1289,paikassa,10216,at
1290,kenellekään,10212,to anyone
1291,kuvia,10210,images
1292,mutten,10209,but not
1293,päässyt,10193,reached
1294,löydämme,10189,we find
1295,päähän,10158,on
1296,ampua,10150,shoot
1297,juo,10140,drink
1298,luojan,10130,creator
1299,bob,10117,bob
1300,maassa,10117,on the ground
1301,veljesi,10117,your brother
1302,matka,10083,travel
1303,tunnetko,10080,do you know
1304,maata,10065,lie
1305,sarah,10050,sarah
1306,silmät,10036,eyes
1307,kaupunki,10030,city
1308,itseäni,10011,myself
1309,kiittää,10011,thank
1310,painu,10010,press
1311,varaa,10007,Reserve
1312,hullua,10005,mad
1313,sanovat,10003,say
1314,todellakaan,10003,indeed
1315,ihanaa,10003,wonderful
1316,pitääkö,9997,do
1317,kuulitko,9992,Did you hear
1318,pelkään,9974,I am afraid of
1319,ammu,9948,shoot
1320,tälle,9942,for this
1321,vankilassa,9940,inside
1322,vieläkin,9917,even
1323,aja,9915,drive
1324,tarkoita,9912,mean
1325,vialla,9909,wrong
1326,luulee,9905,think
1327,lukee,9905,read
1328,soitin,9890,instrument
1329,outo,9889,strange
1330,huolissani,9873,worry about
1331,juttuja,9866,stuff
1332,tony,9825,tony
1333,vahva,9816,strong
1334,olo,9813,feeling
1335,aikoo,9812,intentionally
1336,muuttunut,9804,altered
1337,johtuu,9800,caused by
1338,ray,9784,ray
1339,bill,9779,bill
1340,työn,9766,work
1341,rauhallisesti,9749,quietly
1342,kuvan,9722,picture
1343,sana,9720,word
1344,ethän,9718,you don't
1345,hienosti,9708,finely
1346,tuntenut,9706,felt
1347,tuomari,9702,judge
1348,perheen,9698,family
1349,kertokaa,9698,tell
1350,nukkua,9696,to sleep
1351,tunsin,9696,felt
1352,saisinko,9693,May I have
1353,käskin,9691,told
1354,jim,9689,jim
1355,sun,9686,sun
1356,johon,9684,for which
1357,kiitti,9682,felt
1358,poliisit,9677,cops
1359,hakea,9664,seek
1360,vaatii,9660,demands
1361,toiseen,9646,to another
1362,tietä,9633,road
1363,muutakin,9630,other
1364,sepä,9630,that
1365,typerä,9626,silly
1366,menettää,9619,lose
1367,hyväksi,9619,for
1368,pitkälle,9616,far
1369,sopiiko,9601,fit
1370,yhtäkkiä,9596,suddenly
1371,sijaan,9579,in exchange for
1372,a,9569,a
1373,esittää,9564,present
1374,saitko,9562,did you get
1375,vetää,9561,pull
1376,toisella,9548,on the other
1377,loput,9534,the rest
1378,hetkeksi,9527,for a while
1379,vastata,9525,answer
1380,ottanut,9524,take
1381,samaan,9503,same
1382,sinäkö,9496,you
1383,jään,9496,ice
1384,sairaalaan,9496,to the hospital
1385,maa,9495,I
1386,tavannut,9482,met
1387,tappaja,9476,killer
1388,kuvitella,9461,imagine
1389,lasten,9453,junior
1390,taisin,9443,morn
1391,odottanut,9443,waited
1392,viekää,9431,take
1393,kutsua,9429,invite
1394,koulussa,9397,at school
1395,aloitetaan,9393,commenced
1396,valitan,9393,I choose
1397,ehdottomasti,9387,absolutely
1398,potkut,9385,sack
1399,tuletko,9384,Will you come
1400,autoa,9382,car
1401,ulkopuolella,9376,outside
1402,pystyt,9375,able
1403,katosi,9371,disappeared
1404,pienen,9358,small
1405,olevani,9356,being
1406,syystä,9354,justly
1407,luokse,9335,with
1408,äläkä,9334,and not
1409,varovasti,9316,carefully
1410,tajusin,9306,realized
1411,kuolemaa,9302,death
1412,jokaisen,9275,every
1413,kerrot,9270,tell
1414,äitinsä,9260,mother
1415,ääni,9255,sound
1416,peli,9249,game
1417,kiinnosta,9229,of interest
1418,kuitenkaan,9226,however
1419,huone,9219,room
1420,vauva,9215,baby
1421,oikoluku,9214,proofread
1422,tulimme,9200,We came
1423,ruumiin,9195,corpse
1424,omat,9179,their own
1425,mennyttä,9177,past
1426,vaimosi,9176,your wife
1427,sekuntia,9174,seconds
1428,huoneessa,9173,In the room
1429,väliin,9167,between
1430,tutkia,9167,explore
1431,vaarallista,9156,dangerous
1432,tuntea,9144,feel
1433,hyvästi,9134,Goodbye
1434,laske,9120,count
1435,henkilö,9110,person
1436,etsivä,9101,detective
1437,tyttöä,9089,a girl
1438,siistiä,9084,cool
1439,tuhota,9081,destroy
1440,mistään,9075,for any
1441,jep,9069,Yup
1442,vaihtaa,9057,change
1443,tulitte,9055,heard
1444,sellaisen,9052,that
1445,rakkaus,9043,love
1446,pystyn,9032,I can
1447,nimen,9029,name
1448,uskoo,9015,believe
1449,tekivät,9006,did
1450,puhelin,8996,phone
1451,saatava,8991,balance
1452,tapahtua,8978,happen
1453,suuntaan,8977,in the direction of
1454,turpa,8973,chub
1455,richard,8970,Richard
1456,eipä,8969,not
1457,viimeisen,8968,last
1458,laitan,8963,I put
1459,juhlat,8960,party
1460,kaunista,8959,beautiful
1461,keksin,8947,I invent
1462,lainkaan,8942,at all
1463,ajattelen,8940,i think about
1464,nimeltä,8936,by
1465,uhri,8929,victim
1466,parin,8911,couple
1467,tarkoittanut,8911,meant
1468,istua,8905,sit
1469,itsekin,8905,another
1470,kivaa,8898,fun
1471,joudun,8881,on
1472,helvetissä,8881,hell
1473,kaupungissa,8879,in town
1474,niille,8872,them
1475,olevasi,8867,your
1476,danny,8854,danny
1477,pelottaa,8850,scare
1478,kuunnelkaa,8850,listen to
1479,selviää,8850,survive
1480,loppuu,8831,ends
1481,lähdössä,8829,leaving
1482,monia,8819,many
1483,kysyin,8813,I asked
1484,aseen,8811,gun
1485,tulemme,8811,we come
1486,juttua,8808,stuff
1487,sota,8804,war
1488,harry,8769,harry
1489,raskaana,8759,pregnant
1490,billy,8754,billy
1491,kuunnella,8753,listen
1492,kaikkialla,8733,everywhere
1493,sodan,8726,war
1494,sujuu,8723,is going
1495,mitenkään,8717,in any way
1496,kysyn,8709,I will ask
1497,tuntee,8703,know
1498,nimeä,8698,name
1499,käske,8698,told
1500,sopimus,8692,agreement
1501,takaa,8687,from behind
1502,lailla,8686,by law
1503,tommy,8685,tommy
1504,perheeni,8677,my family
1505,selvästi,8669,clearly
1506,illan,8666,evening
1507,matkaa,8664,journey
1508,nähneet,8663,seen
1509,mielestä,8662,with
1510,kannata,8647,booze
1511,palannut,8644,returned
1512,keino,8643,means
1513,nick,8639,nick
1514,annat,8639,give
1515,huomaa,8615,note
1516,tapaa,8614,meet
1517,annoit,8611,gave
1518,kaipaa,8604,miss
1519,saaneet,8602,received
1520,maksan,8598,hepatic
1521,saattoi,8598,could
1522,kylmä,8597,cold
1523,näiden,8593,these
1524,koulun,8593,school
1525,helposti,8592,easily
1526,kiinnostunut,8578,interested
1527,korjata,8577,fix
1528,kiirettä,8570,hurry up
1529,tosin,8568,indeed
1530,aseita,8564,weapons
1531,valmiiksi,8561,ready
1532,varmaankin,8558,probably
1533,kertomaan,8556,tell
1534,satuttaa,8554,hurt
1535,pidämme,8548,we keep
1536,puolen,8535,half
1537,vau,8517,wow
1538,kuuma,8514,hot
1539,steve,8502,steve
1540,tapoit,8496,killed
1541,taidat,8492,skills
1542,kyseessä,8491,at issue
1543,kuukauden,8464,months
1544,fiksu,8457,smart
1545,aamuna,8456,morning
1546,matkaan,8451,journey
1547,tarkoitatko,8429,you mean
1548,löydän,8415,I will find
1549,bobby,8414,bobby
1550,niillä,8414,they have
1551,johnny,8396,Johnny
1552,huomannut,8395,noticed
1553,vastaus,8386,answer
1554,löysit,8386,you found
1555,ellet,8385,unless you
1556,ettemme,8380,we don't
1557,hyötyä,8379,put to account
1558,juokse,8376,run
1559,kiinnostaa,8371,interest
1560,kamalaa,8371,horrible
1561,missään,8370,anywhere
1562,jane,8368,jae
1563,jatkuvasti,8365,continually
1564,pitämään,8350,keep
1565,tehkää,8333,do
1566,kuulen,8330,i hear
1567,muistaa,8328,remember
1568,apuasi,8322,your help
1569,kätesi,8307,your hand
1570,sairaalassa,8295,in the hospital
1571,kovaa,8292,hard
1572,professori,8288,professor
1573,valmiita,8273,ready-made
1574,yhdeksän,8263,nine
1575,tieltä,8253,from the road
1576,aiheuttaa,8239,cause
1577,näyttävät,8237,look
1578,lahja,8236,gift
1579,sovi,8225,fit
1580,myydä,8224,sell
1581,lähdet,8221,depart
1582,hengissä,8219,alive
1583,pelata,8219,to be afraid
1584,autosta,8214,from the car
1585,kuolemaan,8198,to death
1586,luokseni,8195,to me
1587,yritämme,8193,We will try
1588,poikasi,8188,your son
1589,väärä,8183,wrong
1590,väsynyt,8179,tired
1591,jolloin,8176,when
1592,maailmaa,8175,the world
1593,ssa,8170,in
1594,suhde,8155,ratio
1595,hemmetti,8143,pumper
1596,ampui,8143,shot
1597,oikean,8140,right
1598,pysäyttää,8125,stop
1599,huolimatta,8115,despite
1600,kuvaa,8103,picture
1601,jätän,8100,I leave
1602,hoida,8087,handle
1603,vedä,8087,Pull
1604,hankkia,8087,acquire
1605,vaatteet,8082,clothing
1606,otamme,8081,we will take
1607,kunnia,8078,honor
1608,keksi,8074,Cookie
1609,nopeammin,8072,faster
1610,vihaa,8059,hate
1611,johonkin,8046,somewhere
1612,kadonnut,8041,lost
1613,yhteys,8029,contact
1614,päästää,8024,let
1615,ennenkin,8020,before
1616,tahdo,8019,to
1617,kutsutaan,8019,called
1618,niihin,7987,to them
1619,lentää,7986,fly
1620,uskotko,7980,do you believe
1621,vastuussa,7978,accountable
1622,käytti,7978,used
1623,mennessä,7961,by
1624,lle,7959,to
1625,siten,7958,so
1626,jaksa,7952,ink
1627,hiukan,7952,a little
1628,tekisin,7951,i would do
1629,mitkä,7949,what
1630,ostin,7945,I bought
1631,täytyi,7940,fulfilled
1632,annetaan,7937,be given
1633,ollenkaan,7931,at all
1634,riippuu,7930,depend on
1635,tv,7926,TV
1636,vuoteen,7922,in
1637,liiku,7921,move
1638,will,7889,will
1639,naisten,7882,female
1640,tekstityksen,7877,subtitles
1641,soittanut,7877,played
1642,saivat,7870,obtained
1643,puhelimessa,7861,on the telephone
1644,sanoivat,7861,said
1645,kutsu,7849,call
1646,päästäkää,7839,let
1647,menevät,7834,go
1648,näemme,7831,we see
1649,panna,7830,put
1650,kas,7829,on
1651,mestari,7819,Master
1652,pysähdy,7810,stop
1653,sulje,7792,bracket
1654,itsellesi,7789,For yourself
1655,suuren,7788,large
1656,myöhään,7785,late
1657,kolmas,7780,third
1658,koskee,7775,concern
1659,asioista,7775,on
1660,poikki,7767,across
1661,kerroit,7752,let out
1662,virhe,7738,error
1663,etsii,7731,looking for
1664,lähetä,7730,send
1665,jätin,7727,I left
1666,huumeita,7727,drugs
1667,ainoastaan,7726,only
1668,oppia,7723,learn
1669,haluaisitko,7722,would you like
1670,sellaisia,7722,such
1671,toiset,7716,other
1672,kenet,7711,who
1673,päivässä,7711,in a day
1674,vetoa,7703,bet
1675,luutnantti,7701,lieutenant
1676,tapaan,7690,in the manner of
1677,avain,7684,key
1678,joilla,7671,with
1679,osaat,7663,part
1680,aikaisemmin,7662,earlier
1681,menemään,7659,to go
1682,todellinen,7657,real
1683,vieläkään,7651,even now
1684,tytär,7649,daughter
1685,jake,7640,jacket
1686,onnistuu,7635,succeed
1687,uudet,7618,new
1688,etteivät,7618,not
1689,vaarassa,7616,in danger
1690,elämäsi,7614,your life
1691,murhasta,7604,murder
1692,suu,7602,mouth
1693,selvitä,7600,clarify
1694,pahasti,7595,badly
1695,tarkoitin,7593,I meant
1696,juotavaa,7588,drinking
1697,vanhan,7581,old
1698,erään,7580,one
1699,viiden,7575,five
1700,kirja,7564,book
1701,pelkkää,7552,plain
1702,rakkautta,7551,love
1703,asua,7541,live
1704,ihanko,7541,fine
1705,viikko,7532,week
1706,tapaus,7526,case
1707,peliä,7517,game
1708,komentaja,7514,commander
1709,hitaasti,7512,slowly
1710,ajattelet,7511,you think
1711,valkoinen,7504,white
1712,sopimuksen,7498,contract
1713,sanaa,7492,word
1714,ääliö,7487,jerk
1715,toivoa,7483,hope
1716,käsi,7470,hand
1717,heittää,7461,throw
1718,aseet,7457,arms
1719,yö,7455,night
1720,harmi,7449,annoyance
1721,martin,7447,Martin
1722,tyytyväinen,7435,pleased
1723,tyhjä,7433,blank
1724,komisario,7424,inspector
1725,niissä,7418,in those
1726,sanat,7417,lyrics
1727,osan,7411,part
1728,miettiä,7404,think about
1729,paeta,7400,escape
1730,saatan,7395,I may
1731,ta,7394,TA
1732,tykkää,7390,like
1733,meiltä,7385,from us
1734,lupasin,7382,promised
1735,liity,7380,join
1736,jonnekin,7379,somewhere
1737,eivätkä,7379,and not
1738,pakoon,7372,escape
1739,tunti,7368,hour
1740,miehesi,7360,your husband
1741,perässä,7351,after
1742,ensimmäistä,7341,first
1743,muutti,7336,moved
1744,luvan,7329,permission
1745,ajoissa,7327,in time
1746,robert,7325,robert
1747,kouluun,7313,to school
1748,kone,7312,machine
1749,olleen,7312,have been
1750,sta,7308,from
1751,kutsuu,7301,call
1752,emmekö,7300,don't we
1753,ison,7298,big
1754,onnekas,7297,lucky
1755,joista,7296,of which
1756,kuolen,7285,I will die
1757,järjestää,7285,arrange
1758,ehdi,7283,make it
1759,aikoina,7277,in times
1760,lapseni,7276,my child
1761,kaipaan,7258,i miss
1762,lyö,7252,hit
1763,tällainen,7252,like
1764,pulassa,7251,in trouble
1765,eniten,7250,the most
1766,perhettä,7249,family
1767,luin,7248,I read
1768,vittua,7238,fuck
1769,emmekä,7235,do not
1770,välittömästi,7233,direct
1771,muun,7232,other
1772,eddie,7228,eddie
1773,tekevän,7225,to do
1774,e,7220,e
1775,sydän,7219,heart
1776,työni,7212,my work
1777,tuollainen,7205,that kind of
1778,useita,7202,several
1779,erilainen,7199,different
1780,kimppuun,7197,on
1781,perusteella,7190,by
1782,musiikkia,7186,music
1783,avata,7177,open
1784,metriä,7176,meter
1785,sanoisin,7168,i would say
1786,tarvita,7168,need
1787,muttei,7159,but not
1788,puhumme,7158,we are talking about
1789,ellen,7149,Ellen
1790,teitte,7141,youth
1791,muuttuu,7141,change
1792,perään,7132,after
1793,näkyy,7131,appears
1794,samassa,7130,in the same
1795,joudut,7130,have
1796,kanssamme,7122,with us
1797,kokeilla,7122,try out
1798,mark,7116,mark
1799,tiesitkö,7116,Did you know
1800,murhaaja,7114,murderer
1801,olemmeko,7109,Are we
1802,tulehan,7104,on
1803,todellako,7103,actually
1804,huolehdi,7098,take care
1805,kasvaa,7095,grow
1806,arvostan,7095,I appreciate
1807,otat,7091,take
1808,miesten,7075,men
1809,vikaa,7065,bug
1810,kahdesti,7051,twice
1811,tärkeintä,7049,most important thing
1812,avaimet,7048,keys
1813,istumaan,7044,sit down
1814,tainnut,7044,stunned
1815,daniel,7040,Daniel
1816,toisiamme,7039,To each other
1817,charles,7038,Charles
1818,vihdoin,7036,finally
1819,tarjota,7028,offer
1820,suokaa,7023,shout
1821,tilaisuus,7021,opportunity
1822,kirjan,7018,book
1823,san,7015,san
1824,kuole,7010,die
1825,lähelle,6997,close
1826,dollarin,6993,dollar
1827,vesi,6991,water
1828,de,6989,de
1829,herran,6975,Lord
1830,tutkin,6962,investigate
